Danske navn;Latinske navn;Engelske navn
Hedehøg;Circus pygargus;Montagu’s Harrier
Mørk Sanghøg;Melierax metabates;Dark Chanting Goshawk
Gabarhøg;Micronisus gabar;Gabar Goshawk
Duehøg;Accipiter gentilis;Northern Goshawk
Spurvehøg;Accipiter nisus;Eurasian Sparrowhawk
Shikra;Accipiter badius;Shikra
Balkanhøg;Accipiter brevipes;Levant Sparrowhawk
Musvåge;Buteo buteo;Common Buzzard
Ørnevåge;Buteo rufinus;Long-legged Buzzard
Fjeldvåge;Buteo lagopus;Rough-legged Buzzard
Stor Skrigeørn;Aquila clanga;Greater Spotted Eagle
Lille Skrigeørn;Aquila pomarina;Lesser Spotted Eagle
Dværgørn;Aquila pennata;Booted Eagle
Kongeørn;Aquila chrysaetos;Golden Eagle
Verreauxørn;Aquila verreauxii;Verreaux’s Eagle
Høgeørn;Aquila fasciata;Bonelli’s Eagle
Steppeørn;Aquila nipalensis;Steppe Eagle
Rovørn;Aquila rapax;Tawny Eagle
Kejserørn;Aquila heliaca;Asian Imperial Eagle
Spansk Kejserørn;Aquila adalberti;Spanish Imperial Eagle
Fiskeørn;Pandion haliaetus;Osprey
Lille Tårnfalk;Falco naumanni;Lesser Kestrel
Tårnfalk;Falco tinnunculus;Common Kestrel
Amerikansk Tårnfalk;Falco sparverius;American Kestrel
Aftenfalk;Falco vespertinus;Red-footed Falcon
Amurfalk;Falco amurensis;Amur Falcon
Dværgfalk;Falco columbarius;Merlin
Lærkefalk;Falco subbuteo;Eurasian Hobby
Eleonorafalk;Falco eleonorae;Eleonora’s Falcon
Sodfalk;Falco concolor;Sooty Falcon
Lannerfalk;Falco biarmicus;Lanner Falcon
Slagfalk;Falco cherrug;Saker Falcon
Jagtfalk;Falco rusticolus;Gyrfalcon
Vandrefalk;Falco peregrinus;Peregrine Falcon
Berberfalk;Falco pelegrinoides;Barbary Falcon
Hjerpe;Bonasa bonasia;Hazel Grouse
Dalrype;Lagopus lagopus;Willow Ptarmigan
Fjeldrype;Lagopus muta;Rock Ptarmigan
